"","caseid","weight","inputzip","county_fips","NCHS_Code_2013","USR_Classification","HRSA_Classification","Census_Classification","CountyName_Census","MO_Region","votereg","treat_group","QA","QB","consent","POLS001","POLS002","POLS007","POLS003","POLS004","POLS005","POLS006","POLS008","POLS009","POLS010","POLS010_t","POLS011","POLS012","POLS013","POLS014","POLS015","POLS016","POLS017","POLS018","POLS019","POLS020","POLS021","POLS022","POLS023","POLS024","POLS025","POLS026","POLS027","POLS028","POLS029","POLS030","POLS031","POLS032","POLS033","POLS034","POLS035","POLS036","EDU001","EDU002","EDU002_t","EDU003rule","EDU004rule","EDU005rule","EDU006rule","EDU007rule","EDU008rule","EDU009rule","EDU010rule","EDU011rule","EDU012","EDU013","EDU014","EDU015","EDU016","EDU017","EDU018","birthyr","agegroup","gender","race","educ","marstat","employ","faminc_new","incgroup","pid3","pid7","presvote16post","presvote20post","inputstate","ideo5","newsint","religpew","pew_churatd","pew_bornagain","pew_religimp","pew_prayer","ownhome","starttime","endtime"
"31",1910332865,0.458080631444865,63033,29189,2,3,3,1,"St. Louis MO",6,1,1,1,1,1,1,2,4,4,4,4,4,2,2,5,"reproductive rights",2,4,4,4,3,NA,4,2,2,4,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,1,2,NA,2,1,"__NA__",40,31,41,49808,42793,55973,31526,30675,54272,1,2,NA,1,1,2,1,1945,1,2,1,6,4,5,5,1,4,3,1,1,29,1,1,11,6,2,4,2,1,2022-08-08 22:57:17,2022-08-08 23:14:58
"32",1910542757,0.634074935158611,65026,29131,6,1,1,2,"Miller MO",3,1,2,2,2,1,2,NA,NA,NA,4,4,4,2,2,2,"__NA__",3,4,4,4,NA,3,3,NA,NA,NA,3,3,3,3,1,NA,1,1,1,1,1,1,1,3,NA,2,2,2,"__NA__",50,51,52,40926,25381,39023,38071,11739,12690,3,3,3,3,3,3,1,1983,3,1,1,2,5,2,1,1,1,1,1,1,29,2,2,11,5,2,3,2,1,2022-08-08 23:59:08,2022-08-09 00:09:11
"33",1910745851,6.79649826674692,65202,29019,4,2,2,1,"Boone MO",1,1,2,1,1,1,2,NA,NA,NA,3,3,3,4,5,5,"Rights",3,4,3,4,NA,4,3,NA,NA,NA,1,2,1,1,1,NA,1,1,1,1,1,1,1,1,NA,2,2,2,"__NA__",60,39,50,20939,14911,30457,13642,17553,23354,1,2,3,1,1,1,1,1996,4,2,1,3,5,1,5,1,1,1,3,3,29,2,4,1,4,2,1,3,2,2022-08-08 21:52:05,2022-08-09 00:38:11
"34",1910521471,0.911192070844736,64138,29095,1,4,2,1,"Jackson MO",5,1,2,1,1,1,4,NA,NA,NA,1,4,2,1,1,1,"__NA__",4,3,3,3,NA,1,2,NA,NA,NA,2,1,3,3,2,NA,2,2,1,1,1,2,3,2,NA,1,2,4,"__NA__",53,52,50,46578,40936,46784,36915,38012,39108,1,2,1,1,1,1,2,1958,2,2,1,3,1,1,97,NA,3,4,2,2,29,4,1,1,4,1,1,2,1,2022-08-09 00:22:38,2022-08-09 00:40:50
"35",1910634713,0.839026920356912,64870,29097,4,2,2,1,"Jasper MO",3,1,2,2,1,1,4,NA,NA,NA,2,3,1,1,1,1,"__NA__",4,3,2,3,NA,2,2,NA,NA,NA,2,1,2,2,2,NA,2,2,1,1,1,2,1,2,NA,1,2,4,"__NA__",15,17,21,45518,43768,48319,39216,34664,39566,2,3,1,2,2,2,2,1965,2,1,1,2,1,1,8,2,2,7,2,2,29,5,1,1,5,2,2,6,1,2022-08-09 00:30:52,2022-08-09 00:42:21
"36",1910812271,0.772626118786574,65068,29053,6,1,1,2,"Cooper MO",2,1,1,2,1,1,4,4,2,2,5,5,5,1,5,1,"__NA__",4,3,3,4,1,NA,1,2,1,3,NA,NA,NA,NA,NA,2,3,2,1,1,1,3,3,2,2,NA,2,3,"__NA__",15,20,25,36773,42868,48830,29595,35705,42300,3,1,NA,3,2,2,2,1964,2,1,1,5,1,1,97,NA,3,5,2,2,29,4,1,12,5,2,3,4,1,2022-08-09 00:29:10,2022-08-09 00:44:37
"37",1910745947,0.272130976505235,64130,29095,1,4,2,1,"Jackson MO",5,1,1,2,2,1,2,5,5,5,5,5,5,2,2,1,"__NA__",4,4,4,4,4,NA,4,3,3,4,NA,NA,NA,NA,NA,4,2,2,2,2,1,2,2,3,3,NA,1,1,"__NA__",52,51,52,58693,62817,62183,63135,64086,60279,3,3,NA,3,3,3,4,1992,3,2,2,1,5,4,1,1,1,2,7,1,29,6,7,11,4,1,1,1,2,2022-08-08 21:53:54,2022-08-09 01:22:31
"38",1910822511,1.15294787139891,64114,29095,1,4,2,1,"Jackson MO",5,1,1,1,1,1,1,2,4,4,4,4,4,2,2,4,"__NA__",1,3,4,4,3,NA,3,1,2,4,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,1,2,NA,2,3,"__NA__",40,19,40,34502,34502,45981,30675,28762,44919,1,3,NA,1,1,2,1,1980,3,1,1,6,1,1,11,3,3,4,1,1,29,3,1,10,5,2,3,4,1,2022-08-09 00:39:40,2022-08-09 00:49:05
"39",1910831275,0.947445743233664,64152,29165,2,3,3,1,"Platte MO",5,1,2,1,1,1,4,NA,NA,NA,2,2,2,1,1,1,"__NA__",4,3,4,4,NA,2,2,NA,NA,NA,2,1,2,1,2,NA,2,2,2,2,2,2,2,2,NA,1,1,1,"__NA__",76,71,54,36048,35359,38165,30112,30457,29762,3,1,1,2,2,2,2,1981,3,2,1,6,1,7,9,2,2,7,2,2,29,5,2,1,2,1,1,1,1,2022-08-09 01:19:22,2022-08-09 01:30:55
"40",1910542601,0.924159138361128,63070,29099,2,3,3,1,"Jefferson MO",6,1,1,1,1,1,4,3,2,2,2,4,2,1,1,1,"__NA__",4,4,4,4,3,NA,2,2,2,3,NA,NA,NA,NA,NA,2,2,2,1,1,1,2,1,2,2,NA,1,1,"__NA__",35,50,55,49964,58700,65881,37531,37548,45809,1,1,NA,2,2,2,2,1976,2,2,1,6,1,1,11,3,2,7,2,2,29,5,1,2,5,2,2,5,1,2022-08-09 01:18:23,2022-08-09 01:33:12
